gene_name	gene_id
AMPD3	ENSG00000133805
CDK6	ENSG00000105810
FBXO31	ENSG00000103264
DLEU2L	ENSG00000116652
TSPO2	ENSG00000112212
SOX6	ENSG00000110693
NFATC4	ENSG00000100968
RUNX2	ENSG00000124813
DNAJC6	ENSG00000116675
CNRIP1	ENSG00000119865
ADAM23	ENSG00000114948
AMMECR1	ENSG00000101935
CXCL6	ENSG00000124875
CCNA1	ENSG00000133101
PI3	ENSG00000124102
TNFSF8	ENSG00000106952
RPL23	ENSG00000125691
PDE4D	ENSG00000113448
DNMT3A	ENSG00000119772
FCRLA	ENSG00000132185
SLC35D1	ENSG00000116704
SMC4	ENSG00000113810
SLC2A1	ENSG00000117394
DNAJC27	ENSG00000115137
CIAO3	ENSG00000103245
CXCL12	ENSG00000107562
BNIP3L	ENSG00000104765
SPTBN1	ENSG00000115306
NIP7	ENSG00000132603
TULP4	ENSG00000130338
BMX	ENSG00000102010
EPCAM	ENSG00000119888
TFR2	ENSG00000106327
CCDC34	ENSG00000109881
NPY	ENSG00000122585
UBE3A	ENSG00000114062
MYEF2	ENSG00000104177
SKP1	ENSG00000113558
SLC25A15	ENSG00000102743
SOX4	ENSG00000124766
SLBP	ENSG00000163950
DLEU1	ENSG00000176124
CHAC2	ENSG00000143942
PEX2	ENSG00000164751
FAM69A	ENSG00000154511
CA3	ENSG00000164879
MTSS1	ENSG00000170873
SLC38A9	ENSG00000177058
ZNF711	ENSG00000147180
MSI2	ENSG00000153944
SIT1	ENSG00000137078
SF3B4	ENSG00000143368
HSPD1	ENSG00000144381
PPIL1	ENSG00000137168
PKP4	ENSG00000144283
ARHGAP42	ENSG00000165895
USP15	ENSG00000135655
ZNF92	ENSG00000146757
SDR16C5	ENSG00000170786
ROPN1L	ENSG00000145491
LEP	ENSG00000174697
GALNT5	ENSG00000136542
JAZF1	ENSG00000153814
RTF1	ENSG00000137815
SLC7A1	ENSG00000139514
KCNJ16	ENSG00000153822
MC4R	ENSG00000166603
KIAA1586	ENSG00000168116
PARP8	ENSG00000151883
SOCS5	ENSG00000171150
CD101	ENSG00000134256
TSPYL5	ENSG00000180543
DYM	ENSG00000141627
CLIC4	ENSG00000169504
PALM2-AKAP2	ENSG00000157654
HMGA1	ENSG00000137309
ISCA1	ENSG00000135070
ZNF577	ENSG00000161551
CCDC112	ENSG00000164221
GPM6A	ENSG00000150625
LUM	ENSG00000139329
ASXL1	ENSG00000171456
IGF1R	ENSG00000140443
POU4F1	ENSG00000152192
GIPC2	ENSG00000137960
ALAS2	ENSG00000158578
SUCLG2	ENSG00000172340
CXCR1	ENSG00000163464
KIF23	ENSG00000137807
FCRL1	ENSG00000163534
RPL39L	ENSG00000163923
DCAF1	ENSG00000145041
SLCO1C1	ENSG00000139155
CD72	ENSG00000137101
TTC32	ENSG00000183891
NFIA	ENSG00000162599
CEACAM3	ENSG00000170956
NAP1L5	ENSG00000177432
ARPP21	ENSG00000172995
GABARAPL1	ENSG00000139112
ZNF232	ENSG00000167840
PTPRK	ENSG00000152894
HMGA2	ENSG00000149948
EBF1	ENSG00000164330
ATP1B1	ENSG00000143153
TMSB15B	ENSG00000158427
PTAFR	ENSG00000169403
GRAP	ENSG00000154016
PRKCE	ENSG00000171132
TLR10	ENSG00000174123
MAF	ENSG00000178573
STRBP	ENSG00000165209
FAM174A	ENSG00000174132
VPREB1	ENSG00000169575
GYPA	ENSG00000170180
NFIC	ENSG00000141905
CDC42EP3	ENSG00000163171
PSMG4	ENSG00000180822
TMCC1	ENSG00000172765
SMAD1	ENSG00000170365
OLR1	ENSG00000173391
PGRMC2	ENSG00000164040
ERG	ENSG00000157554
ABCE1	ENSG00000164163
PPP1R14A	ENSG00000167641
JDP2	ENSG00000140044
ELOVL6	ENSG00000170522
CYTL1	ENSG00000170891
TLE3	ENSG00000140332
CMTM4	ENSG00000183723
CABLES1	ENSG00000134508
CLEC4E	ENSG00000166523
RAB6B	ENSG00000154917
PRNP	ENSG00000171867
MAD2L1	ENSG00000164109
RFESD	ENSG00000175449
MTF2	ENSG00000143033
GSDMC	ENSG00000147697
TUFT1	ENSG00000143367
CCDC58	ENSG00000160124
ACSL6	ENSG00000164398
FTH1	ENSG00000167996
LRRC8C	ENSG00000171488
FUT7	ENSG00000180549
SCHIP1	ENSG00000151967
ADAMTSL3	ENSG00000156218
FZD5	ENSG00000163251
BZW2	ENSG00000136261
CAMK2D	ENSG00000145349
SERPINH1	ENSG00000149257
WIPF2	ENSG00000171475
SLC7A3	ENSG00000165349
GPC5	ENSG00000179399
HRK	ENSG00000135116
CCDC28B	ENSG00000160050
CYB5A	ENSG00000166347
KIF21A	ENSG00000139116
ALDH9A1	ENSG00000143149
RBBP4	ENSG00000162521
LRRC8A	ENSG00000136802
ENTPD1	ENSG00000138185
SETMAR	ENSG00000170364
SORT1	ENSG00000134243
SCN3A	ENSG00000153253
ID4	ENSG00000172201
GNG7	ENSG00000176533
SSSCA1	ENSG00000173465
ACP6	ENSG00000162836
RRM1	ENSG00000167325
SEPT2	ENSG00000168385
TMEM19	ENSG00000139291
LEF1	ENSG00000138795
PGM2L1	ENSG00000165434
NOG	ENSG00000183691
FER	ENSG00000151422
UBE2E2	ENSG00000182247
YES1	ENSG00000176105
DOCK5	ENSG00000147459
YIPF6	ENSG00000181704
LRP8	ENSG00000157193
GP5	ENSG00000178732
PCGF5	ENSG00000180628
GHRL	ENSG00000157017
BOD1	ENSG00000145919
FABP5	ENSG00000164687
SERHL2	ENSG00000183569
SINHCAF	ENSG00000139146
RGL1	ENSG00000143344
PTPRJ	ENSG00000149177
CCDC50	ENSG00000152492
GCSH	ENSG00000140905
CASKIN1	ENSG00000167971
F2RL1	ENSG00000164251
LUC7L2	ENSG00000146963
TUBB6	ENSG00000176014
PADI4	ENSG00000159339
PTPRD	ENSG00000153707
ETV6	ENSG00000139083
PKIA	ENSG00000171033
FMNL2	ENSG00000157827
IER3	ENSG00000137331
ERMAP	ENSG00000164010
FRS2	ENSG00000166225
CLEC12A	ENSG00000172322
SLC39A13	ENSG00000165915
FAM129C	ENSG00000167483
PCOLCE2	ENSG00000163710
RHOD	ENSG00000173156
ZBTB8A	ENSG00000160062
FLI1	ENSG00000151702
CYP19A1	ENSG00000137869
BPGM	ENSG00000172331
RAB30	ENSG00000137502
HDAC11	ENSG00000163517
STX3	ENSG00000166900
TMEM45A	ENSG00000181458
ERAP2	ENSG00000164308
SERHL	ENSG00000172250
CMTM8	ENSG00000170293
CXCL1	ENSG00000163739
YPEL4	ENSG00000166793
CA8	ENSG00000178538
SSBP2	ENSG00000145687
F11R	ENSG00000158769
HTRA3	ENSG00000170801
FAM69B	ENSG00000165716
NCEH1	ENSG00000144959
FAM117B	ENSG00000138439
CAPSL	ENSG00000152611
LARP4	ENSG00000161813
PLRG1	ENSG00000171566
PRPF18	ENSG00000165630
HEMGN	ENSG00000136929
VGLL2	ENSG00000170162
AUTS2	ENSG00000158321
DNAJB4	ENSG00000162616
IGF2BP3	ENSG00000136231
MEGF6	ENSG00000162591
TFF3	ENSG00000160180
PDE4DIP	ENSG00000178104
TNFRSF21	ENSG00000146072
NPPC	ENSG00000163273
LZTFL1	ENSG00000163818
PAPPA	ENSG00000182752
CSRP2	ENSG00000175183
ARF4	ENSG00000168374
UBC	ENSG00000150991
CSH1	ENSG00000136488
CD163	ENSG00000177575
HMHB1	ENSG00000158497
CENPN	ENSG00000166451
EIF1	ENSG00000173812
MS4A1	ENSG00000156738
SPTA1	ENSG00000163554
TSC22D3	ENSG00000157514
ARHGAP24	ENSG00000138639
CXXC5	ENSG00000171604
SLC30A1	ENSG00000170385
TIFA	ENSG00000145365
HOMER1	ENSG00000152413
SRXN1	ENSG00000271303
GPX3	ENSG00000211445
EFCAB2	ENSG00000203666
OR4A5	ENSG00000221840
AKAP2	ENSG00000241978
GYPB	ENSG00000250361
STK39	ENSG00000198648
ROR1	ENSG00000185483
HIST1H2BK	ENSG00000197903
AKR1C3	ENSG00000196139
OR52K3P	ENSG00000225101
IGKV1D-8	ENSG00000239819
NAP1L2	ENSG00000186462
ORM1	ENSG00000229314
CHMP1B	ENSG00000255112
IGHA2	ENSG00000211890
ZNF805	ENSG00000204524
ZNF551	ENSG00000204519
LIN28B	ENSG00000187772
ZNF652	ENSG00000198740
LITAF	ENSG00000189067
FAM19A2	ENSG00000198673
MALAT1	ENSG00000251562
TCL6	ENSG00000187621
LPAR1	ENSG00000198121
NME2	ENSG00000243678
CYP4F2	ENSG00000186115
TRIM39	ENSG00000204599
TFDP1	ENSG00000198176
SUPT3H	ENSG00000196284
TCL1B	ENSG00000213231
MLLT11	ENSG00000213190
DNM3	ENSG00000197959
IGKC	ENSG00000211592
TEAD1	ENSG00000187079
TRIM10	ENSG00000204613
OPA1	ENSG00000198836
KLHL14	ENSG00000197705
MAGEH1	ENSG00000187601
CLEC5A	ENSG00000258227
TMEM184B	ENSG00000198792
FAM3C	ENSG00000196937
GSPT2	ENSG00000189369
TNF	ENSG00000232810
GH1	ENSG00000259384
RHD	ENSG00000187010
IGHM	ENSG00000211899
MAFF	ENSG00000185022
CYP4F3	ENSG00000186529
SUPT4H1	ENSG00000213246
HBG1	ENSG00000213934
SELENOP	ENSG00000250722
ORM2	ENSG00000228278
IGHG1	ENSG00000211896
BEX5	ENSG00000184515
MICA	ENSG00000204520
IGHG3	ENSG00000211897
FCAR	ENSG00000186431
FAM30A	ENSG00000226777
OR2J3	ENSG00000204701
SIX6	ENSG00000184302
CTSE	ENSG00000196188
DLEU2	ENSG00000231607
DZIP3	ENSG00000198919
TMEM167B	ENSG00000215717
IGHD	ENSG00000211898
HSPA1B	ENSG00000204388
MYL6B	ENSG00000196465
BEND4	ENSG00000188848
IPO7	ENSG00000205339
HBG2	ENSG00000196565
DLEU7	ENSG00000186047
IGHA1	ENSG00000211895
LRRC37B	ENSG00000185158
HSPA1A	ENSG00000204389
PEG10	ENSG00000242265
SERINC4	ENSG00000184716
SPIB	ENSG00000269404
KCNJ12	ENSG00000184185
DDI2	ENSG00000197312
C2CD4A	ENSG00000198535
RHCE	ENSG00000188672
PBX1	ENSG00000185630
SLC22A5	ENSG00000197375
PIP4K2B	ENSG00000276293
