gene_name	gene_id
GPAT4	ENSG00000158669
FGF18	ENSG00000156427
FGF17	ENSG00000158815
NKX2-1	ENSG00000136352
IDI2	ENSG00000148377
SIK1	ENSG00000142178
RLBP1	ENSG00000140522
SAMD8	ENSG00000156671
CRH	ENSG00000147571
PIK3C2G	ENSG00000139144
CCR7	ENSG00000126353
CYP2E1	ENSG00000130649
INSIG2	ENSG00000125629
SCCPDH	ENSG00000143653
DGKI	ENSG00000157680
RBP4	ENSG00000138207
CEPT1	ENSG00000134255
PEMT	ENSG00000133027
PDK1	ENSG00000152256
NRBF2	ENSG00000148572
CYR61	ENSG00000142871
HSPG2	ENSG00000142798
AKT1	ENSG00000142208
HADHB	ENSG00000138029
PLA2G4A	ENSG00000116711
IP6K3	ENSG00000161896
ABHD2	ENSG00000140526
OCRL	ENSG00000122126
PIK3R1	ENSG00000145675
FABP3	ENSG00000121769
PPARG	ENSG00000132170
FITM1	ENSG00000139914
SLC44A5	ENSG00000137968
SLC27A2	ENSG00000140284
HRASLS2	ENSG00000133328
ST6GALNAC5	ENSG00000117069
ST3GAL2	ENSG00000157350
RB1	ENSG00000139687
CSNK1G2	ENSG00000133275
CYP1A2	ENSG00000140505
CERS2	ENSG00000143418
FGF2	ENSG00000138685
PANK2	ENSG00000125779
HMGCS2	ENSG00000134240
PIGK	ENSG00000142892
B4GALNT1	ENSG00000135454
TMEM86A	ENSG00000151117
ERBB2	ENSG00000141736
FADS1	ENSG00000149485
APOA1	ENSG00000118137
FABP2	ENSG00000145384
DAB2IP	ENSG00000136848
PRKAA2	ENSG00000162409
OPN1SW	ENSG00000128617
PIGT	ENSG00000124155
NPC2	ENSG00000119655
ORMDL2	ENSG00000123353
LPGAT1	ENSG00000123684
SESN2	ENSG00000130766
VAV3	ENSG00000134215
TTR	ENSG00000118271
HADH	ENSG00000138796
SMG1	ENSG00000157106
FAM126A	ENSG00000122591
ACOXL	ENSG00000153093
SLC44A2	ENSG00000129353
FGF7	ENSG00000140285
LPIN1	ENSG00000134324
CYP3A7	ENSG00000160870
GLYATL2	ENSG00000156689
CLN6	ENSG00000128973
ALDH1A2	ENSG00000128918
TWIST1	ENSG00000122691
SLC27A1	ENSG00000130304
LYPLA1	ENSG00000120992
ACADL	ENSG00000115361
RDH12	ENSG00000139988
CLPS	ENSG00000137392
PLA2G5	ENSG00000127472
SSTR4	ENSG00000132671
GPCPD1	ENSG00000125772
PLA2G12B	ENSG00000138308
FADS2	ENSG00000134824
NR1H2	ENSG00000131408
KDELC1	ENSG00000134901
CYP2C9	ENSG00000138109
PLPPR1	ENSG00000148123
INPP5E	ENSG00000148384
THEM4	ENSG00000159445
AIG1	ENSG00000146416
PCYT1A	ENSG00000161217
PRDX6	ENSG00000117592
PRXL2B	ENSG00000157870
GBGT1	ENSG00000148288
GGPS1	ENSG00000152904
B4GALT4	ENSG00000121578
MOGAT1	ENSG00000124003
NEU3	ENSG00000162139
PIK3R3	ENSG00000117461
ETFA	ENSG00000140374
VAV2	ENSG00000160293
TAMM41	ENSG00000144559
AJUBA	ENSG00000129474
CYP2J2	ENSG00000134716
CYGB	ENSG00000161544
CYP1A1	ENSG00000140465
VAPB	ENSG00000124164
B4GALT6	ENSG00000118276
PLA2G7	ENSG00000146070
PLA2G2F	ENSG00000158786
STAT5A	ENSG00000126561
PIP5K1A	ENSG00000143398
NEU2	ENSG00000115488
PLEKHA3	ENSG00000116095
CYP2C8	ENSG00000138115
HSD17B4	ENSG00000133835
SDC1	ENSG00000115884
PLP1	ENSG00000123560
PTK2B	ENSG00000120899
CYP2U1	ENSG00000155016
AGPAT3	ENSG00000160216
ACSBG2	ENSG00000130377
MTMR6	ENSG00000139505
PLCD4	ENSG00000115556
RBP1	ENSG00000114115
NUS1	ENSG00000153989
ENPP2	ENSG00000136960
MUT	ENSG00000146085
FGF5	ENSG00000138675
ARF3	ENSG00000134287
PIGC	ENSG00000135845
CYP1B1	ENSG00000138061
ELOVL4	ENSG00000118402
GATA6	ENSG00000141448
RDH13	ENSG00000160439
ACAT2	ENSG00000120437
NRG1	ENSG00000157168
TPTE2	ENSG00000132958
PTGES	ENSG00000148344
PLPPR5	ENSG00000117598
HTR2C	ENSG00000147246
ALOX5AP	ENSG00000132965
PLD2	ENSG00000129219
CYP2G1P	ENSG00000130612
WDTC1	ENSG00000142784
LAMTOR1	ENSG00000149357
ABHD3	ENSG00000158201
PLA2G12A	ENSG00000123739
A4GALT	ENSG00000128274
PTDSS1	ENSG00000156471
PIK3CA	ENSG00000121879
CYP4V2	ENSG00000145476
AADAC	ENSG00000114771
PIGZ	ENSG00000119227
MBOAT2	ENSG00000143797
ST6GALNAC6	ENSG00000160408
CYP4A22	ENSG00000162365
CRABP2	ENSG00000143320
APOC1	ENSG00000130208
G6PC	ENSG00000131482
ORMDL1	ENSG00000128699
FUT6	ENSG00000156413
FUT5	ENSG00000130383
SCD5	ENSG00000145284
VAV1	ENSG00000141968
EGFR	ENSG00000146648
PLPP3	ENSG00000162407
OLAH	ENSG00000152463
OXSM	ENSG00000151093
NKX2-3	ENSG00000119919
THNSL2	ENSG00000144115
KLF4	ENSG00000136826
BCO1	ENSG00000135697
RDH10	ENSG00000121039
PLAA	ENSG00000137055
PLPPR4	ENSG00000117600
LRAT	ENSG00000121207
PIP4K2A	ENSG00000150867
FAM57B	ENSG00000149926
THRSP	ENSG00000151365
PGAP3	ENSG00000161395
EREG	ENSG00000124882
PLA2G2D	ENSG00000117215
SDC4	ENSG00000124145
RPE65	ENSG00000116745
POR	ENSG00000127948
IMPA1	ENSG00000133731
ELOVL3	ENSG00000119915
CLN8	ENSG00000182372
ARSI	ENSG00000183876
ACER1	ENSG00000167769
SGPL1	ENSG00000166224
ACAD9	ENSG00000177646
A3GALT2	ENSG00000184389
ACSF3	ENSG00000176715
PPARA	ENSG00000186951
ASAH2B	ENSG00000204147
SPTSSA	ENSG00000165389
PIGP	ENSG00000185808
CYP2D7	ENSG00000205702
HIBCH	ENSG00000198130
GK	ENSG00000198814
DOLPP1	ENSG00000167130
ZP3	ENSG00000188372
STAT5B	ENSG00000173757
MVD	ENSG00000167508
PLA2G1B	ENSG00000170890
DGAT1	ENSG00000185000
CYP4F8	ENSG00000186526
PIK3R4	ENSG00000196455
PTPN13	ENSG00000163629
OPN1MW	ENSG00000268221
GRB2	ENSG00000177885
ACAD11	ENSG00000240303
HACD4	ENSG00000188921
AGMO	ENSG00000187546
CYP4F3	ENSG00000186529
B3GALNT1	ENSG00000169255
ABHD6	ENSG00000163686
CYP4F11	ENSG00000171903
APOBR	ENSG00000184730
PIP5KL1	ENSG00000167103
FPR2	ENSG00000171049
SGMS2	ENSG00000164023
CERS6	ENSG00000172292
DEGS2	ENSG00000168350
PDP1	ENSG00000164951
PI4KAP1	ENSG00000274602
PLA2G4B	ENSG00000243708
APOM	ENSG00000204444
SACM1L	ENSG00000211456
SLC22A4	ENSG00000197208
HPGDS	ENSG00000163106
PI4KAP2	ENSG00000183506
PROCA1	ENSG00000167525
PIGA	ENSG00000165195
SGPP2	ENSG00000163082
PSAPL1	ENSG00000178597
ACOT4	ENSG00000177465
AKR1B10	ENSG00000198074
PNPLA1	ENSG00000180316
ETNPPL	ENSG00000164089
GLB1	ENSG00000170266
PGP	ENSG00000184207
PQLC3	ENSG00000162976
SOAT2	ENSG00000167780
PLCD1	ENSG00000187091
PRKAG1	ENSG00000181929
APOD	ENSG00000189058
FUT7	ENSG00000180549
INPP5F	ENSG00000198825
CD28	ENSG00000178562
PISD	ENSG00000241878
LEP	ENSG00000174697
AKR1C1	ENSG00000187134
GPD1	ENSG00000167588
CMAHP	ENSG00000168405
ALOX12B	ENSG00000179477
FADS3	ENSG00000221968
CPNE7	ENSG00000178773
ARSH	ENSG00000205667
PLA2G2A	ENSG00000188257
FUT3	ENSG00000171124
ISPD	ENSG00000214960
OC90	ENSG00000253117
CRYL1	ENSG00000165475
FGF3	ENSG00000186895
ECI1	ENSG00000167969
FABP6	ENSG00000170231
FABP1	ENSG00000163586
FADS2P1	ENSG00000274150
CAV3	ENSG00000182533
ALG10B	ENSG00000175548
GBA3	ENSG00000249948
KDELC2	ENSG00000178202
TH	ENSG00000180176
CES2	ENSG00000172831
PDHA2	ENSG00000163114
ST8SIA3	ENSG00000177511
LCK	ENSG00000182866
ABHD16A	ENSG00000204427
ABHD15	ENSG00000168792
PCCA	ENSG00000175198
MFSD2A	ENSG00000168389
LIPI	ENSG00000188992
FABP5	ENSG00000164687
UGT1A7	ENSG00000244122
CPNE1	ENSG00000214078
BDH2	ENSG00000164039
FRS2	ENSG00000166225
SFTPB	ENSG00000168878
PEX2	ENSG00000164751
PDE3A	ENSG00000172572
SGMS1	ENSG00000198964
B3GALT1	ENSG00000172318
SPTLC3	ENSG00000172296
ICOS	ENSG00000163600
LTC4S	ENSG00000213316
ACSM4	ENSG00000215009
ARV1	ENSG00000173409
LYN	ENSG00000254087
GPC2	ENSG00000213420
CYP2F1	ENSG00000197446
RHO	ENSG00000163914
CLN3	ENSG00000188603
HSD17B8	ENSG00000204228
PDHB	ENSG00000168291
PLA2G4F	ENSG00000168907
PLSCR1	ENSG00000188313
UGT1A8	ENSG00000242366
CYP2S1	ENSG00000167600
MTOR	ENSG00000198793
TNFAIP8L3	ENSG00000183578
CYP4F12	ENSG00000186204
PIGX	ENSG00000163964
ARSJ	ENSG00000180801
ADH4	ENSG00000198099
FABP7	ENSG00000164434
SERINC4	ENSG00000184716
ADH5	ENSG00000197894
THEM5	ENSG00000196407
ABO	ENSG00000175164
GAL3ST3	ENSG00000175229
PNLIPRP2	ENSG00000266200
SERINC5	ENSG00000164300
ACSM1	ENSG00000166743
PLD6	ENSG00000179598
CYP2C19	ENSG00000165841
ACSL6	ENSG00000164398
AKR1C4	ENSG00000198610
CRABP1	ENSG00000166426
DGAT2L6	ENSG00000184210
PTPN11	ENSG00000179295
GPIHBP1	ENSG00000277494
RAB4A	ENSG00000168118
FABP12	ENSG00000197416
FABP4	ENSG00000170323
CYP27C1	ENSG00000186684
B3GALT4	ENSG00000235863
DGKK	ENSG00000274588
ACOT1	ENSG00000184227
ACSL5	ENSG00000197142
PIGY	ENSG00000255072
PLPP4	ENSG00000203805
GLT6D1	ENSG00000204007
ELOVL7	ENSG00000164181
PLA2G16	ENSG00000176485
SPTSSB	ENSG00000196542
SDR16C5	ENSG00000170786
PIPSL	ENSG00000180764
HEXA	ENSG00000213614
LCAT	ENSG00000213398
GPAA1	ENSG00000197858
ACSM2A	ENSG00000183747
HRASLS5	ENSG00000168004
APOC2	ENSG00000234906
ACSM5	ENSG00000183549
PPM1L	ENSG00000163590
CYP2A6	ENSG00000255974
PDGFA	ENSG00000197461
ALOXE3	ENSG00000179148
SLC35C1	ENSG00000181830
TLR9	ENSG00000239732
DGAT2L7P	ENSG00000205267
ACP6	ENSG00000162836
TECRL	ENSG00000205678
PNLIP	ENSG00000175535
RDH14	ENSG00000240857
GALR2	ENSG00000182687
PTK2	ENSG00000169398
PTDSS2	ENSG00000174915
TMEM150A	ENSG00000168890
CSNK2B	ENSG00000204435
INS	ENSG00000254647
CYP4A11	ENSG00000187048
RACK1	ENSG00000204628
SPNS2	ENSG00000183018
GK2	ENSG00000196475
INPP5J	ENSG00000185133
LIPH	ENSG00000163898
EIF6	ENSG00000242372
UGT1A9	ENSG00000241119
ACSM6	ENSG00000173124
CYP4F2	ENSG00000186115
CDS1	ENSG00000163624
PIP4K2C	ENSG00000166908
PLA2G2E	ENSG00000188784
ELOVL2	ENSG00000197977
FGF16	ENSG00000196468
PDXP	ENSG00000241360
FAAH2	ENSG00000165591
PLA2G4E	ENSG00000188089
CTDNEP1	ENSG00000175826
HACD1	ENSG00000165996
FABP9	ENSG00000205186
CPT1C	ENSG00000169169
GSTM2	ENSG00000213366
GPC5	ENSG00000179399
STOML2	ENSG00000165283
GPX4	ENSG00000167468
GPAT2	ENSG00000186281
ECI2	ENSG00000198721
DPAGT1	ENSG00000172269
GAL3ST4	ENSG00000197093
STARD10	ENSG00000214530
PLPP6	ENSG00000205808
PLA2G2C	ENSG00000187980
NOD2	ENSG00000167207
ALOX15B	ENSG00000179593
ACAA2	ENSG00000167315
ACER2	ENSG00000177076
CYP2B6	ENSG00000197408
TNF	ENSG00000232810
FITM2	ENSG00000197296
ACSF2	ENSG00000167107
B3GNT5	ENSG00000176597
TRAT1	ENSG00000163519
CYP2A13	ENSG00000197838
ELOVL6	ENSG00000170522
AKR1C3	ENSG00000196139
CNEP1R1	ENSG00000205423
NRG4	ENSG00000169752
CYP2A7	ENSG00000198077
PMVK	ENSG00000163344
CERS1	ENSG00000223802
MECP2	ENSG00000169057
CPTP	ENSG00000224051
TBL1XR1	ENSG00000177565
CCL19	ENSG00000172724
ORMDL3	ENSG00000172057
ACOT6	ENSG00000205669
UCP3	ENSG00000175564
LIPF	ENSG00000182333
CPT1B	ENSG00000205560
PTEN	ENSG00000171862
CHKB-CPT1B	ENSG00000254413
LIPC	ENSG00000166035
TTC7B	ENSG00000165914
AGPAT1	ENSG00000204310
SERPINA12	ENSG00000165953
ANG	ENSG00000214274
PSAP	ENSG00000197746
AWAT1	ENSG00000204195
PLIN5	ENSG00000214456
HACD2	ENSG00000206527
PIP4K2B	ENSG00000276293
UGT1A3	ENSG00000243135
MID1IP1	ENSG00000165175
ALG3	ENSG00000214160
ADH7	ENSG00000196344
INPPL1	ENSG00000165458
GSTA1	ENSG00000243955
CYP26C1	ENSG00000187553
