gene_name	num_variants	cds_length	vars_per_kbp	gene_id
RAG2	2	1578	1.2674271229404308	ENSG00000175097
ALDH5A1	2	1599	1.2507817385866167	ENSG00000112294
TMEM56	1	807	1.2391573729863692	ENSG00000152078
AQP1	1	810	1.2345679012345678	ENSG00000240583
SLC25A21	1	810	1.2345679012345678	ENSG00000183032
PTH2R	2	1644	1.2165450121654502	ENSG00000144407
PPP1R12B	4	3294	1.214329083181542	ENSG00000077157
NAF1	2	1650	1.2121212121212122	ENSG00000145414
CCDC3	1	837	1.1947431302270013	ENSG00000151468
PMEPA1	2	1689	1.1841326228537596	ENSG00000124225
ZBTB24	4	3384	1.1820330969267139	ENSG00000112365
CD79A	2	1695	1.1799410029498525	ENSG00000105369
ANKRD13B	1	855	1.1695906432748537	ENSG00000198720
NPL	2	1722	1.1614401858304297	ENSG00000135838
TSEN34	1	861	1.1614401858304297	ENSG00000170892
CD109	5	4332	1.154201292705448	ENSG00000156535
KIF26A	7	6069	1.1534025374855825	ENSG00000066735
ABCB6	6	5283	1.135718341851221	ENSG00000115657
ANKRD9	1	888	1.1261261261261262	ENSG00000156381
SPAG16	2	1782	1.122334455667789	ENSG00000144451
N4BP2	3	2682	1.1185682326621924	ENSG00000078177
ZBTB38	4	3591	1.113895850737956	ENSG00000177311
TAF4B	3	2703	1.109877913429523	ENSG00000141384
LIG4	3	2724	1.1013215859030836	ENSG00000174405
RALGPS2	2	1824	1.0964912280701753	ENSG00000116191
NCAPG	3	2739	1.095290251916758	ENSG00000109805
SYNE1	30	27636	1.0855405992184108	ENSG00000131018
GNPTAB	4	3774	1.0598834128245893	ENSG00000111670
PAWR	1	957	1.044932079414838	ENSG00000177425
TWISTNB	1	966	1.0351966873706004	ENSG00000105849
PUS7	2	1956	1.0224948875255624	ENSG00000091127
FGD4	2	2022	0.9891196834817014	ENSG00000139132
CTU2	3	3054	0.9823182711198429	ENSG00000174177
NOP14	2	2037	0.9818360333824252	ENSG00000087269
KCNQ1	2	2040	0.9803921568627451	ENSG00000053918
CTSB	1	1023	0.9775171065493647	ENSG00000164733
RHOBTB1	2	2061	0.970402717127608	ENSG00000072422
ABCB10	2	2073	0.964785335262904	ENSG00000135776
NCKAP1L	3	3117	0.9624639076034649	ENSG00000123338
RAG1	3	3141	0.9551098376313276	ENSG00000166349
PAPPA2	4	4200	0.9523809523809523	ENSG00000116183
USP13	2	2100	0.9523809523809523	ENSG00000058056
GNA12	1	1062	0.9416195856873822	ENSG00000146535
COQ3	1	1065	0.9389671361502347	ENSG00000132423
GHSR	1	1065	0.9389671361502347	ENSG00000121853
GINS1	1	1071	0.9337068160597572	ENSG00000101003
PAX5	1	1071	0.9337068160597572	ENSG00000196092
LTB4R	1	1074	0.9310986964618249	ENSG00000213903
FAIM	1	1080	0.9259259259259258	ENSG00000158234
NCKAP5	5	5502	0.9087604507451836	ENSG00000176771
SPAG17	6	6642	0.9033423667570009	ENSG00000155761
PSAT1	1	1110	0.9009009009009008	ENSG00000135069
CLUAP1	1	1113	0.8984725965858041	ENSG00000103351
STK17B	1	1122	0.89126559714795	ENSG00000081320
BMP2K	6	6756	0.8880994671403197	ENSG00000138756
E2F5	1	1143	0.8748906386701663	ENSG00000133740
IRF4	1	1173	0.8525149190110827	ENSG00000137265
ZHX2	4	4788	0.835421888053467	ENSG00000178764
BLNK	4	4809	0.8317737575379497	ENSG00000095585
IHH	1	1218	0.8210180623973727	ENSG00000163501
CCNB1	1	1221	0.8190008190008189	ENSG00000134057
CD2AP	3	3675	0.8163265306122449	ENSG00000198087
PLEKHA2	1	1236	0.8090614886731392	ENSG00000169499
ZFAT	3	3708	0.8090614886731391	ENSG00000066827
MREG	1	1245	0.8032128514056224	ENSG00000118242
ZBTB10	2	2508	0.7974481658692185	ENSG00000205189
RHAG	2	2514	0.7955449482895784	ENSG00000112077
DTX1	1	1275	0.7843137254901962	ENSG00000135144
PTX3	1	1281	0.7806401249024201	ENSG00000163661
GALC	3	3969	0.7558578987150416	ENSG00000054983
COL11A2	4	5318	0.7521624670928921	ENSG00000204248
NSD1	21	28104	0.7472245943637916	ENSG00000165671
CPN1	1	1362	0.7342143906020557	ENSG00000120054
NAPEPLD	1	1371	0.7293946024799417	ENSG00000161048
ZBTB43	2	2772	0.7215007215007215	ENSG00000169155
CORO2A	1	1392	0.7183908045977012	ENSG00000106789
PML	3	4284	0.700280112044818	ENSG00000140464
TMCC3	1	1434	0.697350069735007	ENSG00000057704
ZFYVE21	1	1452	0.6887052341597797	ENSG00000100711
DAPK2	1	1458	0.6858710562414266	ENSG00000035664
GEMIN5	5	7509	0.6658676255160474	ENSG00000082516
PARP1	2	3036	0.6587615283267457	ENSG00000143799
GSDME	2	3048	0.6561679790026247	ENSG00000105928
PLD1	2	3099	0.6453694740238787	ENSG00000075651
GLDC	2	3114	0.6422607578676943	ENSG00000178445
WRN	5	7911	0.6320313487548983	ENSG00000165392
QRSL1	1	1584	0.6313131313131313	ENSG00000130348
GALNS	1	1587	0.630119722747322	ENSG00000141012
LRP11	1	1605	0.6230529595015576	ENSG00000120256
MFAP2	1	1608	0.6218905472636815	ENSG00000117122
CSGALNACT2	1	1626	0.6150061500615006	ENSG00000169826
WLS	1	1626	0.6150061500615006	ENSG00000116729
PHACTR1	1	1635	0.6116207951070336	ENSG00000112137
KMO	3	4947	0.6064281382656155	ENSG00000117009
BID	1	1683	0.5941770647653001	ENSG00000015475
LTBP2	6	10155	0.5908419497784343	ENSG00000119681
CD19	1	1698	0.5889281507656066	ENSG00000177455
GPNMB	1	1707	0.5858230814294083	ENSG00000136235
MFHAS1	2	3435	0.5822416302765647	ENSG00000147324
ME1	1	1725	0.5797101449275363	ENSG00000065833
CDH1	3	5307	0.5652911249293385	ENSG00000039068
TREH	1	1791	0.5583472920156337	ENSG00000118094
ATP8B1	2	3609	0.5541701302299806	ENSG00000081923
SGO1	1	1809	0.552791597567717	ENSG00000129810
LONRF3	2	3645	0.5486968449931413	ENSG00000175556
PRICKLE1	1	1848	0.5411255411255411	ENSG00000139174
PRKG2	1	1851	0.5402485143165856	ENSG00000138669
MND1	1	1857	0.5385029617662898	ENSG00000121211
IL13RA1	2	3795	0.5270092226613966	ENSG00000131724
IVNS1ABP	1	1926	0.5192107995846313	ENSG00000116679
ACBD4	5	9651	0.5180810278727593	ENSG00000181513
MCTP2	1	1932	0.5175983436853002	ENSG00000140563
MACROD2	2	3891	0.5140066820868672	ENSG00000172264
FOXO1	1	1947	0.5136106831022085	ENSG00000150907
MTHFD2L	1	1947	0.5136106831022085	ENSG00000163738
TRIM32	1	1947	0.5136106831022085	ENSG00000119401
TP53INP2	1	1959	0.5104645227156712	ENSG00000078804
CCDC81	1	1974	0.5065856129685917	ENSG00000149201
MYO9A	4	7911	0.5056250790039186	ENSG00000066933
SLC22A23	1	1989	0.5027652086475616	ENSG00000137266
ABCC4	2	4002	0.49975012493753124	ENSG00000125257
BEST3	1	2010	0.49751243781094534	ENSG00000127325
RSBN1	1	2025	0.4938271604938272	ENSG00000081019
DAB2	4	8154	0.49055678194751046	ENSG00000153071
CEP55	2	4107	0.4869734599464329	ENSG00000138180
TCF4	1	2070	0.48309178743961356	ENSG00000196628
PFKM	1	2076	0.4816955684007707	ENSG00000152556
HHIP	1	2097	0.47687172150691465	ENSG00000164161
SLC5A3	1	2133	0.46882325363338023	ENSG00000198743
P4HA2	3	6426	0.4668534080298786	ENSG00000072682
TRAM1	1	2148	0.46554934823091243	ENSG00000067167
PTPDC1	1	2163	0.46232085067036527	ENSG00000158079
DTL	1	2181	0.4585052728106373	ENSG00000143476
DLC1	3	6603	0.4543389368468878	ENSG00000164741
STAT4	1	2250	0.4444444444444444	ENSG00000138378
PTCH1	2	4518	0.4426737494466578	ENSG00000185920
DNTT	2	4575	0.4371584699453552	ENSG00000107447
PIWIL4	1	2352	0.4251700680272109	ENSG00000134627
SERPINE2	1	2382	0.41981528127623846	ENSG00000135919
SEL1L	1	2400	0.4166666666666667	ENSG00000071537
CAPN3	2	4824	0.41459369817578773	ENSG00000092529
FGFR4	2	4842	0.4130524576621231	ENSG00000160867
L3MBTL3	1	2421	0.4130524576621231	ENSG00000198945
KLF5	1	2424	0.41254125412541254	ENSG00000102554
STAT2	4	9726	0.41126876413736374	ENSG00000170581
LEPR	1	2466	0.40551500405515	ENSG00000116678
BACH2	1	2478	0.4035512510088781	ENSG00000112182
DNAH10	4	9950	0.4020100502512563	ENSG00000197653
FANCC	2	5013	0.39896269698783166	ENSG00000158169
FRMD4A	1	2511	0.39824771007566706	ENSG00000151474
ZNF451	5	12714	0.3932672644329086	ENSG00000112200
CAMK4	1	2562	0.39032006245121004	ENSG00000152495
RNF144B	1	2574	0.38850038850038854	ENSG00000137393
IGF1	1	2604	0.38402457757296465	ENSG00000017427
CCDC91	2	5214	0.3835826620636747	ENSG00000123106
RAPGEF5	2	5436	0.36791758646063283	ENSG00000136237
SLC16A3	1	2772	0.36075036075036077	ENSG00000141526
ECT2	1	2784	0.3591954022988506	ENSG00000114346
SH3BP4	2	5712	0.350140056022409	ENSG00000130147
ACOX1	2	5784	0.3457814661134163	ENSG00000161533
TET2	4	11598	0.34488704949129156	ENSG00000168769
ITGA9	1	2910	0.3436426116838488	ENSG00000144668
PSEN1	1	2946	0.3394433129667345	ENSG00000080815
ZNF827	4	11907	0.3359368438733518	ENSG00000151612
NR3C2	3	8958	0.33489618218352313	ENSG00000151623
SLIT3	3	8976	0.33422459893048123	ENSG00000184347
IPPK	1	3000	0.3333333333333333	ENSG00000127080
LIMD1	2	6012	0.33266799733865604	ENSG00000144791
PCCB	1	3075	0.3252032520325203	ENSG00000114054
PCDH9	1	3099	0.32268473701193934	ENSG00000184226
NPR3	1	3183	0.3141690229343387	ENSG00000113389
FAM13A	4	12735	0.3140950137416569	ENSG00000138640
SNX25	2	6381	0.3134304967873374	ENSG00000109762
EIF5B	2	6840	0.29239766081871343	ENSG00000158417
ARID5B	1	3465	0.28860028860028863	ENSG00000150347
THBS1	1	3504	0.2853881278538813	ENSG00000137801
IGF2BP2	1	3531	0.28320589068252616	ENSG00000073792
PDZD8	1	3555	0.2812939521800281	ENSG00000165650
IRS1	1	3570	0.2801120448179272	ENSG00000169047
WWC2	1	3609	0.2770850651149903	ENSG00000151718
PDIA4	1	3663	0.273000273000273	ENSG00000155660
TRIP11	3	11487	0.26116479498563594	ENSG00000100815
CASP2	3	11607	0.25846471956577927	ENSG00000106144
CPD	1	3879	0.25779840164990975	ENSG00000108582
PXDN	1	3897	0.25660764690787785	ENSG00000130508
DOT1L	5	20082	0.24897918534010555	ENSG00000104885
INSR	1	4074	0.2454590083456063	ENSG00000171105
CLTCL1	1	4098	0.2440214738897023	ENSG00000070371
RASGRP1	1	4179	0.2392916965781287	ENSG00000172575
TCEA1	1	4212	0.23741690408357077	ENSG00000187735
RFX7	1	4272	0.2340823970037453	ENSG00000181827
SORBS1	8	34251	0.23356982277889698	ENSG00000095637
PLEKHG1	1	4458	0.22431583669807087	ENSG00000120278
ARHGEF12	4	18000	0.2222222222222222	ENSG00000196914
PTPN12	1	4659	0.21463833440652502	ENSG00000127947
PPP2R3B	1	4827	0.20716801325875284	ENSG00000167393
TEX2	2	9999	0.2000200020002	ENSG00000136478
MYO5A	2	11022	0.18145527127563055	ENSG00000197535
CEP120	1	5847	0.17102787754403967	ENSG00000168944
EIF2AK3	1	6102	0.16388069485414616	ENSG00000172071
LCORL	3	18540	0.16181229773462785	ENSG00000178177
BNC2	1	6435	0.15540015540015542	ENSG00000173068
TNS1	6	38748	0.15484670176525242	ENSG00000079308
MRTFB	2	12984	0.15403573629081946	ENSG00000186260
NMNAT3	1	6696	0.14934289127837516	ENSG00000163864
KIF1B	1	6966	0.1435544071202986	ENSG00000054523
PAPSS2	1	7464	0.1339764201500536	ENSG00000198682
TUT7	1	7638	0.13092432573972243	ENSG00000083223
SCMH1	1	7905	0.1265022137887413	ENSG00000010803
CRIM1	1	8163	0.12250398137939483	ENSG00000150938
TMTC1	1	8196	0.12201073694485115	ENSG00000133687
RNF14	1	8244	0.121300339640951	ENSG00000013561
NEO1	1	8700	0.1149425287356322	ENSG00000067141
HIVEP2	4	36285	0.11023839051949842	ENSG00000010818
CHD9	6	55653	0.10781089968195785	ENSG00000177200
LTBP1	1	9390	0.10649627263045792	ENSG00000049323
KDM5A	1	10035	0.09965122072745392	ENSG00000073614
PPARD	2	20199	0.09901480271300558	ENSG00000112033
CCDC125	1	10371	0.09642271719217047	ENSG00000183323
ZNF516	1	10395	0.0962000962000962	ENSG00000101493
ANO10	1	10971	0.09114939385653086	ENSG00000160746
APBB2	1	12534	0.07978299026647519	ENSG00000163697
NCOA3	1	12573	0.07953551260637874	ENSG00000124151
SIPA1L1	2	26310	0.07601672367920943	ENSG00000197555
CDC14B	1	13251	0.07546600256584408	ENSG00000081377
ATXN1	1	14454	0.06918500069185	ENSG00000124788
PLEKHA5	1	15261	0.06552650547146321	ENSG00000052126
USP10	1	16782	0.059587653438207606	ENSG00000103194
MYH10	1	17892	0.0558909009613235	ENSG00000133026
SBNO1	1	20595	0.048555474629764506	ENSG00000139697
KIAA1109	6	166053	0.036133041860128993	ENSG00000138688
WDFY3	1	52944	0.01888788153520701	ENSG00000163625
ZNF462	1	107445	0.009307087347014752	ENSG00000148143
TTN	32	4916748	0.0065083669124388725	ENSG00000155657
